id,type,title,bibcite_year,text_author,text_keyword,bibcite_secondary_title,bibcite_volume,bibcite_issue,bibcite_pages,bibcite_publisher,bibcite_isbn,bibcite_issn,bibcite_doi,bibcite_url,bibcite_citekey,status
24617,journal_article,"Supporting Digital Storytelling in Urban School Districts",2006,"D. Rosen, G. Festa",,"Technology and Teacher Education Annual",6,,3934-3935,,,,,,,1
24618,conference_proceedings,"Supporting Digital Storytelling in Urban School Districts",,"D. Rosen, G. Festa",,,,,3934-3935,"Association for the Advancement of Computing in Education",1880094584,,,,,1
24619,conference_proceedings,"Rhetoric and Result in the Bobby Seale Trial",,"D. Rosen",,,,,110-113,"New Haven",0300066759,,,,,1
24620,journal_article,"Narrative in Intercultural Education",1999,"H. Rosen",,"European Journal of Intercultural Studies",10,3,343-354,,,0952-391X,,,,1
24621,conference_proceedings,"Picturing Poetry",,"M. Rosen",,,,,1-8,Stoke-on-Trent,1858562635,,,,,1
24622,journal_article,"Snapshot (Personal Narrative)",2000,"J. Rosenberg",,"Feminist Studies",26,2,377-380,,,0046-3663,,,,1
24623,journal_article,"Ceremonial Healing and the Multiple Narrative Tradition in Louise Erdrich s Tales of Burning Love",2002,"R. Rosenberg",,Melus,27,3,113-132,,,0163-755X,,,,1
24624,journal_article,"The Importance of Storytelling: Students and Teachers Respond to September 11",2008,"R. Rosenberg",,Pedagogy,8,1,145-153,,,1531-4200,,,,1
24625,journal_article,"Representing Workers and the Liberal Narrative of Modernity",1996,"W. Rosenberg",,"Slavic Review",55,2,245-269,,,0037-6779,,,,1
24626,journal_article,"Representing Workers and the Liberal Narrative of Modernity",1999,"W. Rosenberg",,"Research Series- Institute of International Studies University of California Berkeley",,,228-259,,,0068-6093,,,,1
24627,journal_article,"Gary Saul Morson, Narrative and Freedom: The Shadows of Time",1997,"R. Rosengarten",,"Journal of Religion",77,3,507-508,,,0022-4189,,,,1
24628,journal_article,"The collective past, group psychology and personal narrative: shaping Jewish identity by memoirs of the Holocaust",1990,"S. Rosenman, I. Handelsman",,"Am J Psychoanal",50,2,151-70,,,"0002-9548 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=2221198,,1
24629,journal_article,"The Healing Effects of Storytelling: On the Conditions of Curative Storytelling in the Context of Research and Counseling",2003,"G. Rosenthal",,"Qualitative Inquiry",9,6,915-933,,,1077-8004,,,,1
24630,conference_proceedings,"The Narrated Life Story: On the Interrelation Between Experience, Memory and Narration",,"G. Rosenthal",,,,,1-16,Huddersfield:,1862180512,,,,,1
24631,journal_article,"Time to Share the Narrative: Late Medieval Women in Recent and Diverse Scholarship",2004,"J. Rosenthal",,"Journal of British Studies",43,,506-513,,,0021-9371,,,,1
24632,journal_article,"Making Whole: Method and Ethics in Mainstream and Narrative Psychology",1996,"G. Rosenwald",,"Narrative Study of Lives",4,,245-274,,,,,,,1
24633,journal_article,"He s a Liar, I m Afraid : Truth and Lies in a Narrative Account",1993,"A. Rosie",,Sociology,27,1,144,,,,,,,1
24634,journal_article,"Introduction to Part 1: Horizons of Narrative Inquiry",2007,"J. Rosiek",,"Qualitative Inquiry",13,,447-449,,,1077-8004,,,,1
24635,conference_proceedings,"Introduction to Part 1: Horizons of Narrative Inquiry",,"J. Rosiek",,,,,447-449,Sage,1077-8004,,,,,1
24636,journal_article,"The Inevitability and Importance of Genres in Narrative Research on Teaching Practice",2007,"J. Rosiek, B. Atkinson",,"Qualitative Inquiry",13,,499-521,,,,,,,1
24637,conference_proceedings,"The Inevitability and Importance of Genres in Narrative Research on Teaching Practice",,"J. Rosiek, B. Atkinson",,,,,499-521,Sage,1077-8004,,,,,1
24638,conference_proceedings,"An Innovative Multimedia Authoring Minor at an Undergraduate Liberal Arts University: Connecting Professional Writing and Rhetoric, Digital Art, and Computer Science",,"P. Rosinski",,,,,3725-3726,Aace,1880094533,,,,,1
24639,journal_article,"An Unfaithful Narrative: the Success and Failure of Justice in Nadezhda Khvoshchinskaia s Short Story   V sude   (  In the Courtroom  )",2008,"K. Rosneck",,"South Atlantic Review",73,,87-105,,,0277-335X,,,,1
24640,journal_article,"The Disobedient Writer: Women and Narrative Tradition by Nancy A. Walker",1996,"C. Ross",,"American Literature",68,2,486,,,0002-9831,,,,1
24641,journal_article,"Grand Narrative in American Historical Writing: From Romance to Uncertainty",1995,"D. Ross",,"American Historical Review",100,3,651,,,0002-8762,,,,1
24642,journal_article,"Effects of self-evaluation training on narrative writing",1999,"J. Ross, C. Rolheiser, A. Hogaboam-Gray",,"Assessing Writing",6,1,107-132,,,,,,,1
24643,journal_article,"Portrayed on the Heart: Narrative Effect in Pictorial Lives of Saints from the Tenth through the Thirteenth Century, by Cynthia Hahn",2003,"L. Ross",,Biography,26,3,469-470,,,0162-4962,,,,1
24644,conference_proceedings,"Creative remembering",,"M. Ross, R. Buehler",,,,,205-235,"Cambridge University Press",0521431948,,,,,1
24645,conference_proceedings,"Mythic Narrative in Saxo Grammaticus and Snorri Sturluson",,"M. Ross",,,,,47-60,Editrice,,,,,,1
24646,journal_article,"Preterite had + V-ed: A Developmental Narrative Structure of African American English",2004,"S. Ross, J. Oetting, B. Stapleton",,"American Speech.",79,2,167-193,,,0003-1283,,,,1
24647,journal_article,"Lubbock, Storytelling in Christian art from Giotto to Donatello",2007,"G. Rosser",,"Journal of Ecclesiastical History",58,,758-759,,,0022-0469,,,,1
24648,journal_article,"Referential Development in Storytelling and in Storywriting of Catalan and Italian Children",2000,"F. Rossi, C. Pontecorvo",,"Language and Education",14,3,164-183,,,0950-0782,,,,1
24649,journal_article,"Using Personal Construct Theory and Narrative Methods to Facilitate Reflexive Constructions of Teaching Physical Education",2001,"T. Rossi, T. Hooper",,"Australian Educational Researcher",28,3,87-116,,,0311-6999,,,,1
24650,journal_article,"Inclusive Community in a Diverse World: Pursuing an Elusive Goal Through Narrative-Based Dialogue",2001,"B. Rossing, M. Glowacki-Dudka",,"Journal of Community Psychology",29,6,729-744,,,0090-4392,,,,1
24651,journal_article,"A Narrative Approach to Development Implications for Adult Education",1999,"M. Rossiter",,"Adult Education Quarterly",50,1,56-71,,,0741-7136,,,,1
24652,journal_article,"Understanding Adult Development as Narrative",1999,"M. Rossiter",,"New Directions for Adult and Continuing Education",,84,77-86,,,1052-2891,,,,1
24653,journal_article,"Preaching the Story Behind the Image: The Homiletical Fruit of a Narrative Approach to Metaphor",2008,"J. Rossow",,"Concordia Journal",34,,9-21,,,0145-7233,,,,1
24654,journal_article,"Shooting Stories: The Creation of Narrative and Melodrama in Real and Fictional Litigation Against the Gun Industry",2005,"A. Rostron",,"Umkc Law Review",73,4,1047-1072,,,0047-7575,,,,1
24655,conference_proceedings,"Shooting Stories: The Creation of Narrative and Melodrama in Real and Fictional Litigation Against the Gun Industry",,"A. Rostron",,,,,1047-1072,Umkc,0047-7575,,,,,1
24656,journal_article,"Function and Narrative: Fifty Years of Southern California Ceramics  at the Long Beach Museum of Art",1997,"C. Roth",,Artweek,28,10,25,,,0004-4121,,,,1
24657,journal_article,"Narrative, Humor, and Craft: Paths to a Middle Ground",2001,"C. Roth",,Sculpture,20,9,40-45,,,0889-728X,,,,1
24658,journal_article,"Narrative Writing: Development and Teaching with Children with Writing Difficulties",2000,"F. Roth",,"Topics in Language Disorders",20,4,15-28,,,0271-8294,,,,1
24659,journal_article,"Unresolved Mysteries: How Do Metalinguistic and Narrative Skills Connect with Early Reading?",1996,"F. Roth, D. Speece, D. Cooper, S. De La Paz",,"Journal of Special Education",30,3,257-277,,,0022-4669,,,,1
24660,journal_article,"Narrative discourse: spontaneously generated stories of learning-disabled and normally achieving students",1986,"F. Roth, N. Spekman",,"J Speech Hear Disord",51,1,8-23,,,"0022-4677 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=3945063,,1
24661,conference_proceedings,"Is There a Democratic Alternative to Republicanism? The Rhetoric and Politics of Recent Pleas for Synthesis",,"R. Roth",,,,,210-256,"Iowa City",0877456240,,,,,1
24662,journal_article,"Narrative Voices in Modern French Fiction: Studies in Honour of Valerie Minogue on the Occasion of her Retirement, ed. by Michael Cardy and others",1998,"J. Rothenberg",,"Modern Language Review",93,3,846,,,0026-7937,,,,1
24663,conference_proceedings,"Reading And Writing Narrative: What Can We Teach In English?",,"J. Rothery",,,,,281-299,"SEAMEO Regional Language Centre","0129-8895 9971740524",,,,,1
24664,journal_article,"Reading And Writing Narrative: What Can We Teach In English?",1995,"J. Rothery",,"Anthology Series- Seameo Regional Language Centre",,,281-299,,,0129-8895,,,,1
24665,journal_article,"Does it Matter Who Killed Lucy Pollard? Narrative, Historiography, and the Cause Celebre",2003,"J. Rothman",,"Reviews in American History",31,4,546-553,,,0048-7511,,,,1
24666,journal_article,"Narrative Interventions for Working with Persons with AIDS: A Case Study",2000,"P. Rothschild, K. Brownlee, P. Gallant",,"Journal of Family Psychotherapy",11,3,1-14,,,0897-5353,,,,1
24667,journal_article,"Les deux recits du tableau: Histoire et configuration narrative en peinture",1997,"B. Rouge",,Litterature,,,6-20,,,0047-4800,,,,1
24668,journal_article,"Framing Sensibility: The Female Couple in Art and Narrative",2006,"C. Roulston",,"Studies in English Literature 1500",46,,641-656,,,0039-3657,,,,1
24669,journal_article,"Poor reporting of search strategy and conflict of interest in over 250 narrative and systematic reviews of two biologic agents in arthritis: A systematic review",2008,"A. Roundtree, M. Kallen, M. Lopez-Olivo, B. Kimmel, B. Skidmore, Z. Ortiz, V. Cox, M. Suarez-Almazor",,"J Clin Epidemiol",,,,,,"1878-5921 (Electronic)","S0895-4356(08)00216-3 [pii] 10.1016/j.jclinepi.2008.08.003",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=19013763,,1
24670,journal_article,"Meaning-making and chronic illness: Cognitive and narrative approaches",2008,"P. Roussi, E. Avdi",,"Hellenic Journal of Psychology",5,2,147-178,,,,,,,1
24671,conference_proceedings,"The NICE Project: Narrative, Immersive, Constructionist/Collaborative Environments for learning in virtual reality",,"M. Roussos, A. Johnson, J. Leigh, C. Barnes",,,,,917-922,Aace,1880094266,,,,,1
24672,journal_article,"The Interplay between Form, Story, and History: The Use of Narrative in Cultural and Educational Virtual Reality",2001,"M. Roussou",,"Lecture Notes in Computer Science",,2197,181-190,,,0302-9743,,,,1
24673,conference_proceedings,"The Interplay between Form, Story, and History: The Use of Narrative in Cultural and Educational Virtual Reality",,"M. Roussou",,,,,181-190,Berlin,"0302-9743 3540426116",,,,,1
24674,journal_article,"Is There A Narrative Substructure Underlying the Book of Isaiah?",2004,"R. Routledge",,"Tyndale Bulletin",55,,183-204,,,0082-7118,,,,1
24675,journal_article,"Khmer Visual Narrative",2002,"V. Roveda",,"Museum International",54,213/214,44-49,,,1350-0775,,,,1
24676,conference_proceedings,"Environmental Storytelling as a Versatile Interpretive Tool",,"A. Rovetta",,,,,283-284,"The Association",1879931044,,,,,1
24677,conference_proceedings,"La caza fantastica. Un estudio sobre Becquer",,"P. Rovira",,,,,189-194,"Lelida Spain",8489790116,,,,,1
24678,journal_article,"Storytelling in science",2004,"S. Rowcliffe",,"School Science Review",86,,121-126,,,0036-6811,,,,1
24679,journal_article,"Using a Japanese Storytelling Box to Teach English",1997,"A. Rowe",,"Language Teacher",21,12,54-57,,,0289-7938,,,,1
24680,journal_article,"Hawthorne s Ghost in Henry James s Italy: Sculptural Form, Romantic Narrative, and the Function of Sexuality",1999,"J. Rowe",,"Henry James Review",20,2,107-134,,,0273-0340,,,,1
24681,journal_article,"Archetype-Driven Character Dialogue Generation for Interactive Narrative",2008,"J. Rowe, E . Y. Ha, J. Lester",,"Lecture Notes in Computer Science",,,45-58,,,0302-9743,,,,1
24682,conference_proceedings,"Archetype-Driven Character Dialogue Generation for Interactive Narrative",,"J. Rowe, E . Y. Ha, J. Lester",,,,,45-58,Berlin,"0302-9743 9783540854821",,,,,1
24683,journal_article,"The structure of the situation. A narrative on high-intensity medical care",2003,"M. Rowe",,"Hastings Cent Rep",33,6,37-44,,,"0093-0334 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=14983556,,1
24684,journal_article,"The structure of the situation - A narrative on high-intensity medical care",2003,"M. Rowe",,"Hastings Center Report",33,6,37-44,,,0093-0334,,"<Go to ISI>://WOS:000188390800018",,1
24685,journal_article,"Linking Little Narratives to Big Ones: Narrative and Public Memory in History Museums",2002,"S. Rowe, J. Wertsch, T . Y. Kosyaeva",,"Culture and Psychology",8,1,96-112,,,1354-067X,,,,1
24686,conference_proceedings,"Heterochrony of the Central Nervous System and its Effect on Morphogenesis",,"T. Rowe",,,,,71-96,"California Academy of Sciences",0940228432,,,,,1
24687,journal_article,"A Goldsboro Narrative: An Interview with Forrest Hamer",2004,"C. Rowell",,Callaloo,27,4,1047-1061,,,0161-2492,,,,1
24688,journal_article,"Social Function, Polysemy and Narrative-Dramatic Form: A Case Study of Do the Right Thing",1994,"R. Rowland, R. Strain",,"Communication Quarterly",42,3,213,,,0146-3373,,,,1
24689,journal_article,"Rowley Revisited: A Personal Narrative",2008,"A. Rowley",,"Journal of Law and Education",37,,311-328,,,0275-6072,,,,1
24690,conference_proceedings,"An Arctic Affair",,"G. Rowley",,,,,15-22,"University of Ottawa Press",0776604414,,,,,1
24691,journal_article,"The Rhetoric of Hindu Nationalism: A Narrative of Mythic Redefinition",2003,"A. Roy, R. Rowland",,"Western Journal of Communication",67,3,225-248,,,,,,,1
24692,journal_article,"Reversing the Gaze: Amar Singh s Diary. A Colonial Subject s Narrative of Imperial India, edited by Susanne Hoeber Rudolph and Lloyd I. Rudolph, with Mohan Singh Kanota",2001,"K. Roy",,"Journal of Military History",65,3,814,,,0899-3718,,,,1
24693,journal_article,"Oriental Exhibits: Englishmen and Natives in Burton s Personal Narrative of a Pilgrimage to Al-Madinah & Meccah",1995,"P. Roy",,"Boundary 2",22,1,185,,,0190-3659,,,,1
24694,journal_article,"A Grand Narrative",2005,"T. Roy",,"Economic and Political Weekly",40,,741-742,,,0012-9976,,,,1
24695,journal_article,"Roots of Agrarian Crisis in Interwar India: Retrieving a Narrative",2007,"T. Roy",,"Economic and Political Weekly",41,,5389-5400,,,0012-9976,,,,1
24696,journal_article,"Plotting the Frames of Subjectivity: Identity, Death, and Narrative in Philip Roth s The Human Stain",2006,"D. Royal",,"Contemporary Literature",47,,114-140,,,,,,,1
24697,journal_article,"Editor s Introduction: Coloring America: Multi-Ethnic Engagements with Graphic Narrative",2007,"D. Royal",,Melus,32,,7-22,,,0163-755X,,,,1
24698,conference_proceedings,"Increasing Reading Comprehension with Digital Storytelling",,"R. Royer, P. Richards",,,,,2301-2306,"Chesapeake VA",1880094622,,,,,1
24699,journal_article,"This Is Not a Book Review. Esther Rashkin: Family Secrets and the Psychoanalysis of Narrative",1995,"N. Royle",,Angelaki,2,1,31,,,0969-725X,,,,1
24700,journal_article,"Relationships between cognitive changes and narrative speech in aging",2003,"A. Rozas, O. Rabadan",,Psicothema,15,1,71-74,,,0214-9915,,,,1
24701,journal_article,"Final Narrative Report-Internet Outreach to and Training of Illinois Fire Service Personnel, Public and Community College Librarians for Electronic Access to Fire Safety Information",2001,"L. Ruan",,"Illinois Libraries",83,1,18-33,,,0019-2104,,,,1
24702,journal_article,"Understanding the cultural construction of wealth and power differentials through ethnographic narrative analysis in Colombia",2005,"C. Ruano",,"Teaching in Higher Education",10,,519-526,,,,,,,1
24703,journal_article,"Religious Coping Reconsidered, Part Two: A Narrative Reformulation",1998,"Ruard Ganzevoort",,"Journal of Psychology and Theology",26,3,276-286,,,0091-6471,,,,1
24704,journal_article,"The Power of Storytelling on the Socialization of New Employees",2003,"C. Rubel, E. Davis",,"Cupa Hr Journal",54,,17-21,,,,,,,1
24705,journal_article,"Donald Smith, Storytelling Scotland: A Nation in Narrative",2003,"J. Rubenstein",,Clio,32,"Seas Spr",363-368,,,0884-2043,,,,1
24706,journal_article,"Gentile Tales: The Narrative Assault on Late Medieval Jews (John C. Hirsch)",2000,"M. Rubin",,"Medium Aevum",69,2,338-339,,,0025-8385,,,,1
24707,journal_article,"Douglas M. Greenfield, ed. Depictions: Slavic Studies in the Narrative and Visual Arts in Honor of William E. Harkins",2001,"M. Rubins",,"Russian Review",60,4,650,,,0036-0341,,,,1
24708,conference_proceedings,"Los relatos fantasticos de Juan Valera",,"Rubio Cremades",,,,,119-126,"Lelida Spain",8489790116,,,,,1
24709,journal_article,"Narrative, Expression and Mental Substance",2005,"A. Rudd",,Inquiry,48,,413-435,,,0020-174X,,,,1
24710,journal_article,"Kierkegaard, MacIntyre and Narrative Unity - Reply to Lippitt",2007,"A. Rudd",,Inquiry,50,5,541-549,,,0020-174X,,,,1
24711,conference_proceedings,"Once There Was a Pig... Does not Interest : Gilman s Desire for Narrative Control",,"J. Rudd",,,,,144-160,Liverpool,"0853235910 0853236011",,,,,1
24712,journal_article,"Once There Was a Pig... Does not Interest : Gilman s Desire for Narrative Control",1998,"J. Rudd",,"Liverpool Science Fiction Texts and Studies",,14,144-160,,,,,,,1
24713,journal_article,"Women s Narrative Accounts of Recent Abusive Episodes",1997,"J. Rudd, J. Dobos, S. Vogl-Bauer, M. Beatty",,"Womens Studies in Communication",20,1,45-58,,,0749-1409,,,,1
24714,conference_proceedings,"Succession Theory: Reassessing a Neglected Meta-Narrative about Environment and Development",,"T. Rudel",,,,,84-92,"Society for Human Ecology",1074-4827,,,,,1
24715,journal_article,"Succession Theory: Reassessing a Neglected Meta-Narrative about Environment and Development",2009,"T. Rudel",,"Human Ecology Review",16,,84-92,,,1074-4827,,,,1
24716,conference_proceedings,"The Study of the Mishnah and the Quest for Christian Identity in Early Eighteenth-Century England: Completing a Narrative Initiated by Richard Popkin",,"D. Ruderman",,,,,123-144,Dordrecht,9781402084737,,,,,1
24717,journal_article,"The Study of the Mishnah and the Quest for Christian Identity in Early Eighteenth-Century England: Completing a Narrative Initiated by Richard Popkin",2008,"D. Ruderman",,"International Archives of the History of Ideas",198,,123-144,,,0066-6610,,,,1
24718,journal_article,"Trama and Mercy: Reading the Law through the Narrative of Trauma",2001,"S. Rudland",,"Australian Feminist Law Journal",15,,80-104,,,,,,,1
24719,journal_article,"Proposing Innovative Solutions to Student Issues in a Graduate Level Digital Storytelling Course",2007,"A. Rudnicki",,"Technology and Teacher Education Annual",2,,651-652,,,,,,,1
24720,conference_proceedings,"Proposing Innovative Solutions to Student Issues in a Graduate Level Digital Storytelling Course",,"A. Rudnicki",,,,,651-652,"Association for the Advancement of Computing in Education",,,,,,1
24721,journal_article,"The Buzz Continues... The Diffusion of Digital Storytelling across disciplines and colleges at the University of Houston",2006,"A. Rudnicki, A. Cozart, A. Ganesh, C. Markello, S. Marsh, S. McNeil, H. Mullins, D. Smith, B. Robin",,"Technology and Teacher Education Annual",1,,717-723,,,,,,,1
24722,conference_proceedings,"The Buzz Continues... The Diffusion of Digital Storytelling across disciplines and colleges at the University of Houston",,"A. Rudnicki, A. Cozart, A. Ganesh, C. Markello, S. Marsh, S. McNeil, H. Mullins, D. Smith, B. Robin",,,,,717-723,"Association for the Advancement of Computing in Education",1880094584,,,,,1
24723,journal_article,"A multiple birth: psychoanalysis and narrative medicine",2004,"P. Rudnytsky",,"Lit Med",23,2,252-64,,,"0278-9671 (Print)",,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=15690842,,1
24724,journal_article,"Tarring the Garden: The Bible and the Aesthetics of Slavery in Douglass s Narrative",2000,"S. Rudoff",,Esq,46,4,213-238,,,0093-8297,,,,1
24725,journal_article,"Written in Stone: Slavery and Authority in The Narrative of Arthur Fordon Pym",2000,"S. Rudoff",,Atq,14,1,61-82,,,1078-3377,,,,1
24726,journal_article,"From Narrative Representation to Narrative Use: Towards the Limits of Definition",2005,"D. Rudrum",,Narrative,,,195-204,,,1063-3685,,,,1
24727,journal_article,"On the Very Idea of a Definition of Narrative: A Reply to Marie-Laure Ryan",2006,"D. Rudrum",,Narrative,14,,197-204,,,1063-3685,,,,1
24728,journal_article,"Actor-Network Theory, Marxist Economics, and Marxist Political Ecology",2005,"A. Rudy, B. Gareau",,"Capitalism Nature Socialism",16,,85-90,,,1045-5752,,,,1
24729,journal_article,"Historical sense generation by narration An argumentation outline on the paradigm of the narrative in historical science and didactics with a view of non-narrative factors",1996,"J. Ruesen",,"Internationale Schulbuchforschung",18,4,501-544,,,,,,,1
24730,conference_proceedings,"Peace in Our Time? Causality, Social Facts, and Narrative Knowing",,"J. Ruggie",,,,,93-99,Asil,,,,,,1
24731,journal_article,"Rhetoric and Reality in Science Performance Assessments: An Update",1996,"M. Ruiz-Primo, R. Shavelson",,"Journal of Research in Science Teaching",33,10,1045-1064,,,0022-4308,,,,1
24732,conference_proceedings,"Text Setting and the Use of Tune Types in Chinese Dramatic and Narrative Music",,"Pian Chao",,,,,201-234,"Oxford & IBH Publishing",8120406893,,,,,1
24733,journal_article,"Piracy and Narrative Games: Dmitry Puchkov s Translations of The Lord of the Rings",2005,"N. Rulyova",,"Slavic and East European Journal",49,,625-638,,,0037-6752,,,,1
24734,journal_article,"Using narrative literature reviews to build a scientific knowledge base",2001,"P. Rumrill Jr, S. Fitzgerald",,Work,16,2,165-170,,,"1051-9815 (Print)",,http://iospress.metapress.com/content/k42t1lquhqlkbpxc/http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=12441470,,1
24735,journal_article,"Using narrative literature reviews to build a scientific knowledge base",2001,"P. Rumrill, S. Fitzgerald",,"Work- Andover Medical Publishers Incorporated",16,2,165-170,,,1051-9815,,,,1
24736,journal_article,"Tom Yaya Kange: A Metrical Narrative Genre from the New Guinea Highlands",2001,"A. Rumsey",,"Journal of Linguistic Anthropology",11,2,193-239,,,1055-1360,,,,1
24737,journal_article,"Content, domain and word knowledge: Relationship to comprehension of narrative and expository text",1996,"W. Rupley, V. Willson",,"Reading and Writing",8,5,419-432,,,0922-4777,,,,1
24738,journal_article,"Course File for ""Narrative Film: Theory and Practice""",1997,"J. Rush",,"Journal of Film and Video",49,3,48-67,,,0742-4671,,,,1
24739,journal_article,"Language as Narrative Voice: The Poetics of the Highly Inflected Screenplay",1997,"J. Rush, C. Baughman",,"Journal of Film and Video",49,3,28-37,,,0742-4671,,,,1
24740,journal_article,"The Phenomenology of the Allmuseri: Charles Johnson and the Subject of the Narrative of Slavery",1992,"A. Rushdy",,"African American Review",26,3,373,,,1062-4783,,,,1
24741,journal_article,"McLelland, Nicola, Ulrich von Zatzikhoven s ""Lanzelet"": Narrative Style and Entertainment",2003,"J. Rushing",,Speculum,78,2,570-571,,,0038-7134,,,,1
24742,journal_article,"Narrative and Spectacle in Gladiator",2001,"R. Rushton",,Cineaction,,56,34-43,,,0826-9866,,,,1
24743,journal_article,"Absorption and theatricality in the cinema: some thoughts on narrative and spectacle",2007,"R. Rushton",,Screen,48,,109-112,,,0036-9543,,,,1
24744,journal_article,"Cultural assimilation: a narrative case study of student-teaching in an inner-city school",2001,"S. Rushton",,"Teaching and Teacher Education",17,2,147-160,,,0742-051X,,,,1
24745,journal_article,"Using Narrative Inquiry to Understand a Student-Teachers Practical Knowledge While Teaching in an Inner-City School",2004,"S. Rushton",,"Urban Review",36,1,61-79,,,0042-0972,,,,1
24746,journal_article,"Narrative Descriptions of Parental Love and Caring Predict Health Status in Midlife: A 35-Year Follow-Up of the Harvard Mastery of Stress Study",1996,"L. Russek, G. Schwartz",,"Alternative Therapies in Health and Medicine",2,6,55-62,,,,,,,1
24747,journal_article,"Expanding the Horizons of Cinematic Narrative: A Textual Analysis of Nietzchean Themes in Five Abel Ferrara Films",2006,"D. Russell",,"Popular Culture Review",17,,13-20,,,,,,,1
24748,journal_article,"The Spiritual Geography of Domestic and Narrative Spaces in Aidan Chambers  Dance Sequence",2008,"M. Russell",,"Lion and the Unicorn",32,,61-81,,,0147-2593,,,,1
24749,conference_proceedings,"Snarfing, booting, and ""dunk the duchess"": A narrative tale of college drinking games",,"R. Russell",,,,,43,Nrpa,,,,,,1
24750,journal_article,"Changing Narrative Schemas in Psychotherapy",1992,"R. Russell, P. van den Broek",,Psychotherapy,29,3,344,,,0033-3204,,,,1
24751,journal_article,"Narrative as Enchantment in The Mysteries of Udolpho",1998,"M. Russett",,Elh,65,1,159-186,,,0013-8304,,,,1
24752,journal_article,"Sandplay and storytelling: Social constructivism and cognitive development in child counseling",2006,"M. Russo, J. Vernam, A. Wolbert",,"Arts in Psychotherapy",33,3,229-237,,,0197-4556,,,,1
24753,journal_article,"Karkov, Catherine E., Text and Picture in Anglo-Saxon England: Narrative Strategies in the Junius 11 Manuscript",2003,"G. Russom",,Speculum,78,2,541,,,0038-7134,,,,1
24754,journal_article,"Professional Conversations: New Teachers Explore Teaching Through Conversation, Story, and Narrative",1999,"F. Rust",,"Teaching and Teacher Education",15,4,367-380,,,0742-051X,,,,1
24755,journal_article,"What Do Children Tell in Their Own Stories: Opening up Children s Narrative Culture",1999,"N. Rutanen",,"Narrative Inquiry",9,,203-206,,,,,,,1
24756,journal_article,"Getting the most out of narrative financial reporting",2002,"B. Rutherford",,"Accounting and Business",,,32-33,,,1460-406X,,,,1
24757,journal_article,"Narrative reporting: how alike are like-for-likes?",2003,"B. Rutherford",,"Accounting and Business",,,38-42,,,1460-406X,,,,1
24758,journal_article,"Obfuscation, Textual Complexity and the Role of Regulated Narrative Accounting Disclosure in Corporate Governance",2003,"B. Rutherford",,"Journal of Management and Governance",7,2,187-210,,,1385-3457,,,,1
24759,conference_proceedings,"Notes on Music in Ethnographic Film",,"E. Ruud",,,,,222-230,Aarhus,"0907-2454 8789825012",,,,,1
24760,conference_proceedings,"The Death Motif in Late Antique Teshuva Narrative Patterns With a Note on Romans 5-8",,"S. Ruzer",,,,,151-166,Brill,"0169-8834 9004113568",,,,,1
24761,journal_article,"The Death Motif in Late Antique Teshuva Narrative Patterns. With a Note on Romans 5-8",1999,"S. Ruzer",,"Studies in the History of Religions",,,151-166,,,0169-8834,,,,1
24762,conference_proceedings,"Mark-up Based Analysis of Narrative Guidelines with the Stepper Tool",,"M. Ruzicka, V. Svatek",,,,,132-136,Amsterdam,"0926-9630 158603412X",,,,,1
24763,journal_article,"Mark-up Based Analysis of Narrative Guidelines with the Stepper Tool",2004,"M. Ruzicka, V. Svatek",,"Studies in Health Technology and Informatics",,101,132-136,,,,,,,1
24764,journal_article,"Paradoxes of Encounter in Edward Daniel Clarke s Narrative of Lapland",2002,"A. Ryall",,Scandinavica,41,1,21-36,,,0036-5653,,,,1
24765,journal_article,"Punishing Thought: A Narrative Deconstructing the Interpretive Dance of Hate Crime Legislation",2001,"A. Ryan",,"John Marshall Law Review",35,1,123-145,,,0270-854X,,,,1
24766,journal_article,"Damaged Identities, Narrative Repair by Hilda Lineman Nelson; Women Escaping Violence: Empowerment through Narrative by Elaine J. Lawless",2004,"B. Ryan",,"Nwsa Journal",16,2,234-236,,,1040-0656,,,,1
24767,journal_article,"Universal Grammar and Narrative Form, by David Herman",1996,"M. Ryan",,Style,30,3,514-518,,,0039-4238,,,,1
24768,conference_proceedings,"The Narratorial Functions: Breaking Down a Theoretical Primitive",,"M. Ryan",,,,,146-152,"Ohio State University Press",1063-3685,,,,,1
24769,conference_proceedings,"Narrative Cartography: Towards a Visual Narratology",,"M. Ryan",,,,,333-364,Berlin:,"1612-8427 3110178745",,,,,1
24770,journal_article,"Beyond Myth and Metaphor: Narrative in Digital Media",2002,"M. Ryan",,"Poetics Today",23,4,581-610,,,0333-5372,,,,1
